"state","communityname","PctUnemployed","PctEmploy","PctEmplManu","PctEmplProfServ","PctOccupManu","PctOccupMgmtProf"
37,"Fayettevillecity",0.47,0.48,0.26,0.59,0.43,0.48
39,"Wadsworthcity",0.34,0.46,0.64,0.43,0.51,0.43
44,"Cumberlandtown",0.32,0.58,0.64,0.36,0.47,0.46
12,"LakeCitycity",0.53,0.23,0.18,0.51,0.44,0.37
34,"Passaiccity",0.75,0.48,0.86,0.19,0.99,0.19
6,"Lafayettecity",0.07,0.61,0.14,0.66,0.09,0.93
37,"Hendersoncity",0.51,0.4,0.76,0.33,0.87,0.26
12,"Clearwatercity",0.27,0.34,0.22,0.37,0.22,0.39
40,"Owassocity",0.2,0.64,0.42,0.31,0.33,0.34
29,"Rollacity",0.42,0.23,0.14,0.8,0.25,0.51
9,"Branfordtown",0.22,0.67,0.35,0.6,0.25,0.6
25,"Braintreetown",0.42,0.5,0.27,0.4,0.24,0.5
25,"Dedhamtown",0.32,0.53,0.25,0.47,0.24,0.5
34,"Springfieldtownship",0.17,0.54,0.27,0.52,0.15,0.69
6,"SanDimascity",0.16,0.68,0.38,0.44,0.24,0.58
51,"Blacksburgtown",0.43,0.14,0.12,1,0.15,0.75
48,"Weatherfordcity",0.3,0.38,0.41,0.32,0.38,0.36
37,"Salisburycity",0.23,0.35,0.68,0.49,0.68,0.38
39,"Newarkcity",0.52,0.39,0.45,0.39,0.53,0.33
54,"Huntingtoncity",0.73,0.14,0.24,0.72,0.33,0.52
42,"Stroudtownship",0.27,0.54,0.4,0.34,0.41,0.37
18,"Wabashcity",0.42,0.49,0.96,0.29,0.99,0.18
48,"Edinburgcity",0.88,0.26,0.15,0.78,0.38,0.5
25,"Lynncity",0.62,0.4,0.5,0.39,0.43,0.31
34,"Woodbridgetownship",0.27,0.56,0.4,0.29,0.37,0.41
42,"Hampdentownship",0.06,0.7,0.2,0.37,0.26,0.59
34,"JerseyCitycity",0.74,0.43,0.34,0.36,0.52,0.36
53,"PortAngelescity",0.48,0.31,0.34,0.42,0.42,0.34
40,"TheVillagecity",0.18,0.6,0.13,0.48,0.22,0.51
39,"Sanduskycity",0.58,0.43,0.66,0.33,0.71,0.23
35,"SilverCitytown",0.77,0.23,0.04,0.69,0.33,0.34
48,"Taylorcity",0.48,0.4,0.56,0.35,0.61,0.27
34,"BerkeleyHeightstownship",0.11,0.56,0.32,0.56,0.13,0.9
9,"Manchestertown",0.19,0.65,0.38,0.4,0.27,0.48
37,"Greensborocity",0.25,0.63,0.43,0.42,0.42,0.44
12,"CoralSpringscity",0.2,0.73,0.2,0.36,0.15,0.54
18,"Scherervilletown",0.15,0.7,0.58,0.42,0.37,0.47
42,"NetherProvidencetownship",0.05,0.52,0.3,0.75,0.17,0.85
39,"NorthRidgevillecity",0.22,0.7,0.57,0.26,0.52,0.3
34,"Dovertown",0.46,0.65,0.71,0.18,0.73,0.21
25,"Marlboroughcity",0.38,0.7,0.75,0.29,0.28,0.57
39,"Athenscity",0.56,0.09,0.08,1,0.18,0.67
48,"Wataugacity",0.15,0.88,0.51,0.11,0.32,0.36
49,"NorthOgdencity",0.24,0.64,0.45,0.43,0.24,0.61
25,"NorthReadingtown",0.32,0.69,0.41,0.4,0.22,0.62
50,"Colchestertown",0.19,0.71,0.31,0.51,0.27,0.51
13,"Savannahcity",0.5,0.4,0.23,0.53,0.4,0.34
6,"Reddingcity",0.58,0.36,0.19,0.5,0.33,0.43
37,"Lexingtoncity",0.37,0.48,1,0.2,1,0.23
12,"NorthLauderdalecity",0.29,0.78,0.25,0.21,0.25,0.28
34,"LittleFallstownship",0.21,0.58,0.31,0.44,0.22,0.56
18,"LakeStationcity",0.49,0.43,0.61,0.22,0.87,0.06
6,"Artesiacity",0.41,0.44,0.52,0.29,0.68,0.25
42,"Ephrataborough",0.07,0.7,0.81,0.23,0.83,0.22
41,"Eugenecity",0.4,0.46,0.27,0.67,0.31,0.54
6,"Torrancecity",0.2,0.62,0.59,0.29,0.17,0.63
39,"VanWertcity",0.34,0.48,0.83,0.39,0.85,0.28
25,"Melrosecity",0.27,0.57,0.29,0.63,0.17,0.65
45,"Clemsoncity",0.35,0.34,0.27,1,0.23,0.77
24,"Hyattsvillecity",0.3,0.71,0.11,0.47,0.28,0.44
54,"Viennacity",0.25,0.42,0.54,0.44,0.41,0.52
12,"OaklandParkcity",0.26,0.66,0.24,0.21,0.29,0.31
34,"Rutherfordborough",0.22,0.53,0.34,0.39,0.24,0.58
48,"Mansfieldcity",0.31,0.64,0.53,0.27,0.42,0.44
6,"Lodicity",0.4,0.44,0.37,0.34,0.55,0.31
48,"RoundRockcity",0.21,0.81,0.47,0.29,0.34,0.39
49,"SpanishForkcity",0.4,0.5,0.68,0.3,0.72,0.21
51,"Danvillecity",0.58,0.35,0.8,0.35,0.85,0.26
23,"SouthPortlandcity",0.23,0.6,0.2,0.43,0.32,0.4
55,"Watertowncity",0.2,0.58,0.79,0.54,0.72,0.27
36,"Peekskillcity",0.3,0.56,0.28,0.5,0.37,0.43
42,"Lancastercity",0.4,0.45,0.63,0.36,0.77,0.25
39,"Amherstcity",0.28,0.42,0.62,0.5,0.45,0.42
55,"FondduLaccity",0.29,0.51,0.62,0.41,0.59,0.29
1,"Sheffieldcity",0.48,0.31,0.5,0.39,0.68,0.28
48,"Pariscity",0.56,0.24,0.51,0.52,0.62,0.32
44,"Pawtucketcity",0.52,0.53,0.81,0.27,0.73,0.24
45,"Newberrytown",0.61,0.28,0.7,0.43,0.82,0.28
13,"Decaturcity",0.35,0.5,0.16,0.83,0.24,0.75
19,"FortMadisoncity",0.48,0.29,0.73,0.29,0.75,0.25
42,"Logantownship",0.38,0.34,0.3,0.44,0.53,0.26
53,"Wenatcheecity",0.61,0.38,0.17,0.44,0.45,0.38
9,"NewHaventown",0.62,0.39,0.36,0.8,0.4,0.48
25,"Dracuttown",0.54,0.65,0.69,0.29,0.32,0.41
48,"Enniscity",0.42,0.46,0.68,0.26,0.76,0.21
6,"Marinacity",0.17,0.79,0.12,0.33,0.26,0.28
55,"Caledoniatown",0.24,0.67,0.81,0.25,0.5,0.4
25,"Westfieldcity",0.3,0.52,0.6,0.4,0.45,0.39
53,"Auburncity",0.28,0.6,0.67,0.2,0.55,0.28
25,"Andovertown",0.21,0.61,0.48,0.71,0.1,0.96
42,"Lebanoncity",0.27,0.47,0.7,0.37,0.84,0.17
6,"Visaliacity",0.43,0.44,0.23,0.54,0.31,0.45
6,"ElMontecity",0.63,0.43,0.82,0.1,1,0.1
39,"Xeniacity",0.48,0.4,0.53,0.46,0.59,0.26
6,"Napacity",0.27,0.5,0.29,0.46,0.33,0.4
6,"Bellflowercity",0.35,0.56,0.54,0.26,0.51,0.28
12,"NewPortRicheycity",0.36,0.09,0.11,0.52,0.32,0.3
45,"Spartanburgcity",0.43,0.39,0.62,0.48,0.65,0.4
55,"LaCrossecity",0.38,0.46,0.37,0.59,0.46,0.37
37,"Charlottecity",0.22,0.68,0.31,0.33,0.37,0.45
12,"Lakelandcity",0.41,0.3,0.26,0.45,0.42,0.4
18,"Carmelcity",0.07,0.71,0.33,0.42,0.09,0.76
34,"Somervilleborough",0.32,0.59,0.42,0.48,0.39,0.48
42,"Hamptontownship",0.15,0.59,0.28,0.6,0.2,0.72
45,"NorthCharlestoncity",0.27,0.71,0.31,0.24,0.48,0.25
29,"PoplarBluffcity",0.56,0.24,0.26,0.63,0.45,0.35
42,"EastLampetertownship",0.08,0.68,0.56,0.24,0.52,0.35
54,"Clarksburgcity",0.76,0.13,0.17,0.55,0.46,0.35
48,"Pecoscity",0.93,0.25,0.05,0.23,0.46,0.22
18,"LaPortecity",0.29,0.48,0.73,0.31,0.74,0.23
12,"WinterHavencity",0.41,0.22,0.18,0.44,0.28,0.4
51,"Richmondcity",0.4,0.43,0.26,0.53,0.4,0.42
9,"Cheshiretown",0.17,0.54,0.33,0.62,0.13,0.81
44,"Coventrytown",0.34,0.6,0.59,0.28,0.47,0.3
47,"OakRidgecity",0.28,0.42,0.45,0.69,0.18,0.7
1,"Montgomerycity",0.44,0.49,0.21,0.48,0.35,0.45
29,"Overlandcity",0.39,0.52,0.51,0.21,0.5,0.24
29,"Maryvillecity",0.34,0.39,0.24,0.7,0.34,0.43
25,"Greenfieldtown",0.36,0.45,0.32,0.64,0.36,0.4
25,"Stoughtontown",0.35,0.61,0.42,0.37,0.42,0.42
47,"Kingsportcity",0.4,0.25,0.68,0.35,0.45,0.41
12,"WiltonManorscity",0.22,0.62,0.15,0.37,0.27,0.36
18,"MichiganCitycity",0.51,0.37,0.77,0.29,0.74,0.23
25,"EastBridgewatertown",0.46,0.67,0.42,0.36,0.42,0.33
6,"Pittsburgcity",0.44,0.56,0.3,0.27,0.4,0.28
1,"PhenixCitycity",0.58,0.35,0.63,0.37,0.67,0.24
9,"Stratfordtown",0.28,0.51,0.58,0.38,0.32,0.46
9,"Plainfieldtown",0.51,0.56,0.76,0.27,0.72,0.2
38,"Bismarckcity",0.24,0.66,0.07,0.57,0.22,0.51
48,"Stephenvillecity",0.46,0.37,0.3,0.61,0.44,0.41
25,"Dennistown",0.57,0.2,0.09,0.37,0.23,0.39
42,"Dunmoreborough",0.22,0.38,0.37,0.6,0.45,0.45
8,"Englewoodcity",0.28,0.58,0.3,0.36,0.37,0.34
34,"Carteretborough",0.41,0.47,0.53,0.15,0.62,0.24
48,"LaMarquecity",0.66,0.38,0.37,0.53,0.41,0.33
34,"LongBranchcity",0.56,0.48,0.21,0.48,0.36,0.42
33,"Bedfordtown",0.2,0.7,0.35,0.48,0.1,0.77
48,"Greenvillecity",0.39,0.45,0.79,0.31,0.57,0.39
25,"Westporttown",0.48,0.53,0.46,0.32,0.44,0.42
34,"Lowertownship",0.5,0.31,0.12,0.39,0.38,0.25
51,"Williamsburgcity",0.28,0.18,0.05,1,0.14,0.66
42,"UpperAllentownship",0.16,0.59,0.15,0.67,0.23,0.59
42,"Allentowncity",0.38,0.44,0.51,0.41,0.55,0.3
39,"Libertytownship",0.45,0.33,0.47,0.55,0.45,0.4
34,"Sayrevilleborough",0.21,0.63,0.45,0.25,0.45,0.37
6,"LongBeachcity",0.41,0.53,0.46,0.39,0.38,0.45
34,"Montvilletownship",0.26,0.65,0.41,0.38,0.23,0.71
6,"Fillmorecity",0.41,0.5,0.3,0.19,0.67,0.17
53,"Vancouvercity",0.49,0.36,0.43,0.32,0.58,0.32
39,"Delawarecity",0.23,0.53,0.55,0.53,0.55,0.36
1,"FortPaynecity",0.19,0.47,1,0.15,1,0.22
1,"Northportcity",0.37,0.44,0.28,0.81,0.35,0.49
13,"Daltoncity",0.35,0.56,1,0.21,0.81,0.36
40,"Bethanycity",0.38,0.55,0.23,0.51,0.34,0.39
6,"BeverlyHillscity",0.19,0.48,0.16,0.55,0,0.92
48,"Baytowncity",0.51,0.45,0.47,0.3,0.48,0.27
39,"Zanesvillecity",0.91,0.22,0.61,0.44,0.79,0.27
34,"MountLaureltownship",0.1,0.74,0.31,0.43,0.15,0.69
25,"Belmonttown",0.2,0.54,0.25,0.93,0.07,0.95
29,"Arnoldcity",0.34,0.63,0.44,0.29,0.5,0.26
34,"Gloucestertownship",0.3,0.65,0.3,0.39,0.32,0.42
34,"Bayonnecity",0.35,0.43,0.35,0.3,0.43,0.38
39,"Cantoncity",0.77,0.25,0.59,0.36,0.66,0.25
34,"NorthPlainfieldborough",0.19,0.7,0.45,0.43,0.34,0.49
36,"NiagaraFallscity",0.74,0.27,0.52,0.45,0.58,0.23
37,"Monroecity",0.37,0.54,0.73,0.27,0.81,0.28
6,"Sangercity",1,0.36,0.41,0.2,0.77,0.17
39,"Brooklyncity",0.21,0.35,0.64,0.27,0.59,0.21
6,"Ukiahcity",0.46,0.38,0.37,0.53,0.56,0.35
21,"Georgetowncity",0.24,0.5,0.52,0.41,0.56,0.25
40,"Duncancity",0.46,0.26,0.27,0.39,0.39,0.42
23,"Biddefordcity",0.39,0.52,0.69,0.34,0.66,0.22
48,"Killeencity",0.64,0.59,0.1,0.44,0.33,0.31
6,"Antiochcity",0.41,0.61,0.34,0.26,0.36,0.34
4,"Nogalescity",0.96,0.3,0.22,0.14,0.5,0.25
19,"Oskaloosacity",0.42,0.38,0.63,0.46,0.69,0.36
47,"Hendersonvillecity",0.18,0.71,0.32,0.35,0.31,0.5
34,"Glassboroborough",0.53,0.45,0.35,0.56,0.37,0.42
6,"SanGabrielcity",0.38,0.45,0.36,0.35,0.38,0.38
39,"HuberHeightscity",0.25,0.71,0.46,0.3,0.4,0.39
48,"Hurstcity",0.32,0.68,0.4,0.24,0.27,0.44
34,"Westfieldtown",0.13,0.63,0.33,0.63,0.11,0.86
34,"AtlanticCitycity",0.65,0.37,0.06,0.16,0.24,0.18
48,"Palestinecity",0.43,0.38,0.19,0.4,0.44,0.32
42,"Haverfordtownship",0.12,0.54,0.21,0.75,0.16,0.7
49,"Provocity",0.35,0.39,0.25,0.87,0.3,0.47
39,"Westervillecity",0.1,0.7,0.24,0.54,0.17,0.66
9,"WestHaventown",0.32,0.58,0.41,0.4,0.39,0.35
48,"Portlandcity",0.31,0.6,0.23,0.39,0.27,0.47
34,"Dovertownship",0.29,0.47,0.18,0.49,0.27,0.48
39,"Perkinstownship",0.2,0.39,0.63,0.43,0.47,0.43
25,"Harvardtown",0.03,0.95,0.49,0.7,0.14,1
36,"NorthTonawandacity",0.34,0.54,0.59,0.47,0.48,0.33
55,"Menashacity",0.24,0.59,0.92,0.25,0.73,0.24
55,"GreenBaycity",0.32,0.56,0.51,0.34,0.52,0.31
53,"Seattlecity",0.28,0.57,0.28,0.59,0.26,0.6
8,"Greeleycity",0.34,0.52,0.32,0.52,0.41,0.39
34,"HasbrouckHeightsborough",0.25,0.54,0.34,0.31,0.31,0.49
53,"Pullmancity",0.28,0.24,0.03,1,0.15,0.73
9,"Cromwelltown",0.14,0.63,0.38,0.43,0.26,0.57
39,"Woostercity",0.36,0.47,0.59,0.56,0.56,0.41
46,"Aberdeencity",0.18,0.57,0.21,0.63,0.33,0.42
39,"Madisontownship",0.28,0.63,0.37,0.23,0.53,0.26
49,"Oremcity",0.24,0.57,0.36,0.64,0.34,0.51
36,"Genevacity",0.43,0.33,0.29,0.84,0.4,0.4
25,"Peabodycity",0.31,0.58,0.47,0.36,0.37,0.43
34,"SaddleBrooktownship",0.33,0.53,0.37,0.29,0.3,0.41
18,"Logansportcity",0.65,0.38,0.78,0.38,0.74,0.18
40,"Mustangcity",0.24,0.73,0.33,0.3,0.32,0.31
1,"Enterprisecity",0.32,0.5,0.41,0.4,0.46,0.47
29,"Fergusoncity",0.41,0.5,0.45,0.37,0.4,0.4
1,"Birminghamcity",0.62,0.33,0.26,0.57,0.45,0.33
41,"Newbergcity",0.24,0.56,0.6,0.38,0.46,0.33
41,"Keizercity",0.33,0.56,0.24,0.38,0.34,0.38
18,"SouthBendcity",0.51,0.44,0.5,0.5,0.53,0.38
42,"Eriecity",0.59,0.35,0.56,0.5,0.54,0.32
48,"Uvaldecity",0.95,0.23,0.14,0.5,0.43,0.32
48,"CollegeStationcity",0.36,0.22,0.05,1,0.17,0.63
29,"Florissantcity",0.17,0.59,0.54,0.31,0.34,0.37
48,"Texarkanacity",0.54,0.3,0.37,0.52,0.51,0.38
13,"Smyrnacity",0.2,0.81,0.22,0.25,0.19,0.55
55,"SunPrairiecity",0.11,0.78,0.41,0.32,0.46,0.38
33,"Hudsontown",0.42,0.79,0.75,0.2,0.36,0.53
13,"Gainesvillecity",0.29,0.5,0.52,0.46,0.52,0.43
6,"LaCanadaFlintridgecity",0.12,0.53,0.21,0.78,0.06,1
9,"Glastonburytown",0.12,0.68,0.3,0.51,0.12,0.78
49,"Tooelecity",0.68,0.42,0.65,0.17,0.55,0.28
34,"Englewoodcity",0.31,0.6,0.39,0.68,0.39,0.63
45,"NorthAugustacity",0.18,0.59,0.45,0.44,0.31,0.55
42,"Readingcity",0.57,0.39,0.69,0.3,0.8,0.19
47,"Colliervilletown",0.1,0.67,0.52,0.25,0.37,0.41
34,"Cranfordtownship",0.1,0.64,0.34,0.44,0.19,0.62
8,"Durangocity",0.4,0.41,0.05,0.52,0.16,0.44
34,"Elizabethcity",0.67,0.45,0.61,0.23,0.88,0.19
48,"Brenhamcity",0.26,0.34,0.29,0.61,0.45,0.35
6,"Chinocity",0.33,0.38,0.46,0.25,0.44,0.33
48,"Kilgorecity",0.44,0.36,0.34,0.42,0.51,0.33
6,"MorenoValleycity",0.47,0.63,0.37,0.29,0.4,0.33
39,"Sylvaniacity",0.24,0.62,0.4,0.69,0.2,0.73
6,"SanMarinocity",0.12,0.38,0.19,0.76,0.03,1
53,"OakHarborcity",0.31,0.61,0.18,0.31,0.29,0.29
37,"Jacksonvillecity",0.41,0.6,0.09,0.55,0.28,0.42
48,"Conroecity",0.35,0.49,0.22,0.36,0.39,0.34
48,"Colleyvillecity",0.14,0.7,0.31,0.28,0.1,0.74
16,"Lewistoncity",0.4,0.46,0.48,0.42,0.52,0.32
48,"Brownsvillecity",1,0.19,0.3,0.47,0.47,0.35
42,"Phoenixvilleborough",0.19,0.6,0.54,0.33,0.48,0.32
