"state","communityname","NumIlleg","PctIlleg","NumImmig","PctImmigRecent","PctImmigRec5","PctImmigRec8","PctImmigRec10","PctRecentImmig","PctRecImmig5","PctRecImmig8","PctRecImmig10","PctSpeakEnglOnly","PctNotSpeakEnglWell"
1,"Huntsvillecity",0.09,0.28,0.04,0.41,0.45,0.53,0.52,0.11,0.11,0.12,0.1,0.92,0.04
34,"Manvilleborough",0,0.09,0,0.3,0.37,0.33,0.33,0.14,0.15,0.12,0.11,0.79,0.12
34,"Hawthorneborough",0,0.03,0.01,0.18,0.28,0.28,0.27,0.13,0.19,0.17,0.15,0.72,0.15
51,"Stauntoncity",0.01,0.24,0,0.57,0.61,0.5,0.61,0.06,0.06,0.04,0.05,0.96,0.03
41,"LaGrandecity",0.01,0.2,0,0.82,0.9,0.95,0.81,0.13,0.12,0.12,0.09,0.93,0.03
4,"CasaGrandecity",0.02,0.34,0.01,0.19,0.29,0.33,0.39,0.06,0.08,0.09,0.09,0.56,0.19
6,"Banningcity",0.02,0.31,0.02,0.46,0.49,0.49,0.59,0.45,0.42,0.38,0.42,0.58,0.46
6,"ManhattanBeachcity",0,0.06,0.02,0.32,0.31,0.35,0.36,0.18,0.15,0.16,0.15,0.85,0.05
37,"Gastoniacity",0.06,0.48,0,0.26,0.33,0.55,0.58,0.02,0.02,0.03,0.03,0.97,0.03
34,"Mahwahtownship",0,0.11,0.01,0.27,0.42,0.45,0.45,0.21,0.29,0.28,0.26,0.79,0.1
34,"PerthAmboycity",0.06,0.67,0.07,0.39,0.5,0.57,0.61,0.69,0.77,0.8,0.78,0,1
36,"Oneidacity",0.01,0.21,0,0.14,0.1,0.09,0.07,0.02,0.01,0.01,0.01,0.94,0.05
29,"Chesterfieldcity",0,0.04,0.01,0.44,0.42,0.41,0.43,0.18,0.15,0.14,0.13,0.88,0.04
6,"Petalumacity",0.01,0.09,0.03,0.31,0.3,0.34,0.35,0.19,0.16,0.17,0.16,0.81,0.14
19,"CedarFallscity",0.01,0.17,0.01,0.59,0.6,0.73,0.65,0.11,0.09,0.1,0.09,0.94,0.04
9,"Guilfordtown",0,0.04,0.01,0.42,0.32,0.34,0.31,0.13,0.08,0.08,0.07,0.93,0.03
9,"Meridentown",0.03,0.27,0.02,0.21,0.27,0.28,0.34,0.09,0.1,0.09,0.1,0.66,0.22
25,"Yarmouthtown",0.01,0.15,0.01,0.33,0.31,0.3,0.3,0.12,0.1,0.09,0.08,0.88,0.04
40,"DelCitycity",0.02,0.31,0,0.12,0.13,0.17,0.23,0.02,0.02,0.03,0.03,0.92,0.06
48,"PortArthurcity",0.05,0.32,0.03,0.3,0.31,0.4,0.5,0.14,0.13,0.15,0.18,0.74,0.22
8,"Pueblocity",0.07,0.3,0.01,0.32,0.32,0.34,0.33,0.05,0.04,0.04,0.04,0.69,0.11
8,"Auroracity",0.1,0.25,0.08,0.34,0.37,0.44,0.49,0.13,0.13,0.14,0.14,0.86,0.09
36,"Yonkerscity",0.19,0.5,0.25,0.29,0.36,0.43,0.44,0.41,0.44,0.49,0.46,0.47,0.37
49,"Ogdencity",0.03,0.21,0.02,0.36,0.43,0.46,0.54,0.1,0.1,0.1,0.11,0.82,0.11
48,"Vernoncity",0,0.16,0,0,0.25,0.52,0.51,0,0.03,0.06,0.05,0.79,0.11
39,"Polandtownship",0,0.04,0,0.18,0.13,0.11,0.17,0.03,0.02,0.01,0.02,0.89,0.03
46,"Vermillioncity",0,0.27,0,1,1,0.95,0.85,0.16,0.11,0.09,0.07,0.95,0.04
29,"Carthagecity",0,0.04,0,0.45,0.37,0.6,0.62,0.06,0.04,0.06,0.06,0.97,0.03
4,"LakeHavasuCitycity",0,0.06,0.01,0.12,0.12,0.14,0.12,0.04,0.03,0.03,0.03,0.91,0.06
6,"SealBeachcity",0,0.04,0.02,0.27,0.27,0.29,0.27,0.18,0.16,0.16,0.14,0.84,0.07
41,"Lebanoncity",0.01,0.29,0,0.09,0.07,0.06,0.05,0.02,0.01,0.01,0.01,0.94,0.02
6,"Yucaipacity",0.01,0.13,0.02,0.16,0.16,0.24,0.32,0.08,0.07,0.1,0.12,0.82,0.11
12,"KeyWestcity",0.01,0.16,0.02,0.3,0.29,0.33,0.37,0.2,0.17,0.17,0.17,0.64,0.23
28,"Clintoncity",0.01,0.32,0,0.94,0.94,0.77,0.7,0.12,0.1,0.08,0.06,0.95,0.02
44,"EastGreenwichtown",0,0.11,0,0.13,0.2,0.19,0.24,0.04,0.05,0.05,0.06,0.89,0.04
41,"Gladstonecity",0,0.03,0,0.33,0.37,0.34,0.29,0.08,0.08,0.07,0.05,0.93,0.04
6,"RohnertParkcity",0.01,0.12,0.02,0.42,0.44,0.44,0.45,0.26,0.24,0.21,0.2,0.81,0.11
25,"Maldencity",0.03,0.28,0.05,0.46,0.5,0.55,0.6,0.44,0.42,0.42,0.42,0.73,0.2
6,"Eurekacity",0.01,0.16,0.01,0.25,0.23,0.34,0.48,0.1,0.08,0.1,0.14,0.88,0.13
19,"Amescity",0.01,0.12,0.03,1,1,1,0.99,0.84,0.7,0.59,0.47,0.83,0.09
9,"Wolcotttown",0,0.07,0,0.04,0.03,0.05,0.1,0.01,0.01,0.02,0.03,0.83,0.04
33,"Manchestercity",0.05,0.24,0.04,0.37,0.38,0.39,0.36,0.18,0.16,0.15,0.12,0.68,0.11
40,"Lawtoncity",0.04,0.25,0.03,0.26,0.32,0.33,0.36,0.11,0.11,0.11,0.11,0.82,0.07
34,"Wallingtonborough",0,0.13,0.02,0.39,0.44,0.46,0.5,0.66,0.64,0.61,0.62,0.35,0.56
12,"Hollywoodcity",0.06,0.23,0.14,0.32,0.33,0.39,0.45,0.4,0.36,0.39,0.41,0.63,0.21
48,"Amarillocity",0.07,0.2,0.04,0.4,0.49,0.56,0.68,0.12,0.12,0.13,0.14,0.77,0.16
46,"Yanktoncity",0,0.16,0,0.11,0.08,0.14,0.33,0.01,0,0.01,0.01,0.92,0.04
22,"Bogalusacity",0.02,0.56,0,0,0,0.13,0.11,0,0,0,0,0.94,0.03
6,"SanLuisObispocity",0.01,0.14,0.02,0.41,0.5,0.53,0.53,0.25,0.26,0.25,0.23,0.8,0.11
42,"WestGoshentownship",0.01,0.18,0,0.52,0.49,0.44,0.4,0.13,0.11,0.09,0.07,0.92,0.02
48,"ElCampocity",0,0.15,0,0.28,0.23,0.38,0.48,0.08,0.05,0.08,0.09,0.5,0.29
4,"Tucsoncity",0.29,0.35,0.29,0.45,0.5,0.51,0.53,0.34,0.33,0.3,0.29,0.53,0.27
12,"BoyntonBeachcity",0.04,0.4,0.04,0.34,0.44,0.46,0.53,0.29,0.34,0.32,0.34,0.73,0.19
42,"WestManchestertownship",0,0.04,0,0.18,0.14,0.11,0.14,0.03,0.02,0.01,0.02,0.94,0.03
25,"Eastontown",0,0.09,0.01,0.18,0.26,0.26,0.29,0.05,0.06,0.06,0.06,0.93,0.04
6,"SantaClaracity",0.03,0.19,0.14,0.44,0.51,0.6,0.66,0.7,0.72,0.77,0.78,0.48,0.34
6,"Marysvillecity",0.01,0.4,0.01,0.38,0.6,0.58,0.57,0.19,0.27,0.24,0.21,0.8,0.21
34,"WestWindsortownship",0,0.03,0.02,0.35,0.42,0.49,0.53,0.37,0.39,0.42,0.41,0.66,0.14
6,"Inglewoodcity",0.2,0.97,0.21,0.51,0.56,0.6,0.68,1,1,0.98,1,0.3,0.9
42,"Marpletownship",0,0.02,0.01,0.12,0.15,0.19,0.27,0.07,0.08,0.09,0.12,0.8,0.12
12,"OrmondBeachcity",0.01,0.1,0.01,0.16,0.12,0.14,0.17,0.07,0.05,0.05,0.05,0.87,0.04
6,"SantaMonicacity",0.04,0.29,0.15,0.27,0.32,0.37,0.43,0.48,0.49,0.52,0.55,0.53,0.3
12,"Davietown",0.01,0.17,0.03,0.42,0.42,0.48,0.54,0.32,0.28,0.29,0.3,0.74,0.13
34,"ScotchPlainstownship",0,0.05,0.02,0.23,0.25,0.3,0.41,0.18,0.17,0.19,0.23,0.75,0.1
39,"Delhitownship",0,0.07,0,0.28,0.36,0.38,0.42,0.05,0.06,0.05,0.05,0.94,0.03
45,"Mauldincity",0,0.16,0,0,0,0.27,0.28,0,0,0.02,0.02,0.96,0.01
33,"Keenecity",0.01,0.14,0,0.17,0.37,0.38,0.37,0.03,0.06,0.06,0.05,0.93,0.03
39,"Oregoncity",0,0.11,0,0.02,0.04,0.11,0.1,0,0.01,0.02,0.01,0.9,0.04
42,"LowerPaxtontownship",0.01,0.08,0.01,0.27,0.29,0.32,0.37,0.04,0.04,0.04,0.04,0.93,0.02
6,"LomaLindacity",0,0.16,0.03,0.37,0.48,0.55,0.62,0.76,0.86,0.89,0.93,0.43,0.39
6,"Watsonvillecity",0.02,0.37,0.07,0.41,0.5,0.52,0.54,1,1,1,0.98,0,1
39,"Dovercity",0,0.04,0,0,0,0,0,0,0,0,0,0.97,0.01
28,"Natchezcity",0.04,0.85,0,0.22,0.16,0.13,0.11,0.01,0,0,0,0.98,0.02
25,"Belchertowntown",0,0.18,0,0.58,0.43,0.35,0.57,0.13,0.08,0.06,0.09,0.92,0.04
16,"Caldwellcity",0.01,0.13,0.01,0.61,0.61,0.58,0.53,0.24,0.21,0.18,0.15,0.71,0.23
6,"LaMiradacity",0.01,0.14,0.04,0.3,0.31,0.41,0.46,0.33,0.31,0.36,0.37,0.55,0.24
34,"Cliftoncity",0.01,0.09,0.09,0.25,0.29,0.36,0.39,0.34,0.34,0.39,0.38,0.51,0.26
34,"NewMilfordborough",0,0.07,0.02,0.19,0.24,0.38,0.46,0.21,0.23,0.33,0.36,0.68,0.15
25,"Wilbrahamtown",0,0.03,0,0.08,0.06,0.17,0.18,0.03,0.02,0.05,0.05,0.86,0.06
6,"Campbellcity",0.01,0.19,0.03,0.35,0.47,0.54,0.61,0.3,0.36,0.38,0.39,0.74,0.19
47,"UnionCitycity",0.01,0.31,0,0,0,0.37,0.31,0,0,0.01,0,0.99,0.02
6,"Orindacity",0,0.03,0.01,0.11,0.13,0.16,0.22,0.08,0.09,0.1,0.12,0.81,0.05
6,"Folsomcity",0,0.06,0.02,0.14,0.25,0.35,0.4,0.07,0.12,0.15,0.16,0.77,0.08
33,"Salemtown",0,0.08,0.01,0.14,0.15,0.23,0.28,0.06,0.05,0.08,0.08,0.82,0.08
5,"WestMemphiscity",0.06,0.77,0,0,0.1,0.37,0.34,0,0,0.01,0.01,0.99,0.01
34,"Vernontownship",0,0.05,0.01,0.07,0.07,0.06,0.09,0.02,0.02,0.02,0.02,0.91,0.01
6,"Cloviscity",0.02,0.21,0.02,0.46,0.51,0.55,0.6,0.22,0.22,0.22,0.21,0.75,0.15
25,"Lowellcity",0.1,0.46,0.11,0.36,0.57,0.75,0.78,0.42,0.57,0.69,0.66,0.44,0.45
22,"BatonRougecity",0.37,0.81,0.04,0.6,0.6,0.66,0.67,0.13,0.11,0.11,0.1,0.89,0.05
42,"Pottsvillecity",0.01,0.31,0,0,0,0,0.05,0,0,0,0,0.95,0.01
12,"Bartowcity",0.02,0.44,0,0.23,0.36,0.46,0.47,0.05,0.07,0.08,0.07,0.9,0.08
12,"PlantCitycity",0.02,0.37,0.01,0.29,0.56,0.55,0.57,0.09,0.16,0.14,0.13,0.85,0.13
48,"SanAngelocity",0.03,0.15,0.03,0.19,0.23,0.28,0.36,0.07,0.08,0.08,0.1,0.55,0.25
37,"Fayettevillecity",0.09,0.53,0.02,0.4,0.34,0.38,0.35,0.1,0.07,0.07,0.06,0.89,0.05
39,"Wadsworthcity",0,0.05,0,0.1,0.28,0.34,0.47,0.01,0.04,0.04,0.05,0.95,0.01
44,"Cumberlandtown",0,0.08,0.02,0.12,0.17,0.17,0.22,0.07,0.09,0.08,0.09,0.69,0.21
12,"LakeCitycity",0.01,0.46,0,0.3,0.38,0.31,0.43,0.03,0.04,0.03,0.04,0.96,0.02
34,"Passaiccity",0.12,0.97,0.14,0.61,0.68,0.73,0.77,1,1,1,1,0,1
6,"Lafayettecity",0,0.07,0.01,0.25,0.24,0.29,0.29,0.17,0.14,0.15,0.14,0.83,0.05
37,"Hendersoncity",0.03,0.77,0,0.27,0.46,0.38,0.45,0.02,0.03,0.02,0.03,0.96,0.04
12,"Clearwatercity",0.05,0.25,0.05,0.24,0.27,0.32,0.35,0.14,0.13,0.15,0.14,0.84,0.08
40,"Owassocity",0,0.09,0,0.14,0.32,0.34,0.29,0.01,0.02,0.02,0.02,0.98,0.02
29,"Rollacity",0,0.1,0.01,1,0.97,0.94,0.82,0.46,0.36,0.31,0.25,0.88,0.04
9,"Branfordtown",0,0.03,0.01,0.2,0.22,0.21,0.26,0.06,0.06,0.05,0.06,0.88,0.04
25,"Braintreetown",0.01,0.09,0.01,0.13,0.13,0.14,0.16,0.06,0.05,0.05,0.06,0.89,0.05
25,"Dedhamtown",0.01,0.09,0.01,0.2,0.21,0.25,0.24,0.1,0.1,0.1,0.09,0.82,0.08
34,"Springfieldtownship",0,0.03,0.01,0.16,0.18,0.21,0.26,0.17,0.17,0.18,0.2,0.68,0.15
6,"SanDimascity",0.01,0.17,0.03,0.22,0.29,0.4,0.41,0.23,0.27,0.33,0.31,0.64,0.19
51,"Blacksburgtown",0,0.15,0.02,0.87,0.95,0.96,0.87,0.66,0.63,0.58,0.48,0.81,0.06
48,"Weatherfordcity",0,0.11,0,0.16,0.5,0.45,0.62,0.03,0.1,0.08,0.1,0.89,0.11
37,"Salisburycity",0.02,0.47,0,0.46,0.89,0.77,0.71,0.03,0.06,0.05,0.04,0.96,0.04
39,"Newarkcity",0.02,0.19,0,0.09,0.13,0.13,0.19,0,0.01,0.01,0.01,0.98,0.03
54,"Huntingtoncity",0.03,0.2,0,0.48,0.49,0.47,0.45,0.04,0.04,0.03,0.03,0.96,0.02
42,"Stroudtownship",0,0.11,0,0.25,0.38,0.39,0.43,0.07,0.1,0.09,0.09,0.88,0.04
18,"Wabashcity",0,0.12,0,0,0.41,0.33,0.28,0,0.03,0.02,0.02,0.96,0.04
48,"Edinburgcity",0.02,0.28,0.04,0.41,0.47,0.46,0.53,0.53,0.53,0.47,0.5,0,1
25,"Lynncity",0.09,0.51,0.08,0.47,0.59,0.65,0.66,0.46,0.5,0.5,0.47,0.65,0.35
34,"Woodbridgetownship",0.02,0.09,0.08,0.25,0.34,0.42,0.46,0.21,0.25,0.29,0.29,0.69,0.13
42,"Hampdentownship",0,0.04,0,0.32,0.29,0.36,0.35,0.08,0.06,0.07,0.06,0.91,0.02
34,"JerseyCitycity",0.41,0.9,0.38,0.43,0.55,0.64,0.68,0.75,0.84,0.88,0.86,0.28,0.52
53,"PortAngelescity",0.01,0.14,0,0.21,0.32,0.27,0.25,0.06,0.08,0.06,0.05,0.95,0.03
40,"TheVillagecity",0,0.08,0,0.14,0.15,0.28,0.3,0.02,0.02,0.04,0.04,0.94,0.02
39,"Sanduskycity",0.03,0.37,0,0.26,0.26,0.27,0.23,0.02,0.02,0.02,0.02,0.95,0.02
35,"SilverCitytown",0.01,0.28,0,0.2,0.22,0.22,0.27,0.05,0.05,0.04,0.05,0.27,0.13
48,"Taylorcity",0.01,0.26,0,0.15,0.15,0.22,0.43,0.03,0.03,0.04,0.06,0.58,0.22
34,"BerkeleyHeightstownship",0,0.03,0.01,0.2,0.23,0.3,0.37,0.15,0.15,0.18,0.2,0.76,0.09
9,"Manchestertown",0.02,0.17,0.02,0.16,0.2,0.28,0.32,0.07,0.08,0.1,0.1,0.86,0.07
37,"Greensborocity",0.17,0.48,0.03,0.55,0.65,0.69,0.71,0.1,0.11,0.1,0.1,0.94,0.05
12,"CoralSpringscity",0.02,0.13,0.06,0.34,0.44,0.49,0.52,0.27,0.31,0.31,0.3,0.78,0.12
18,"Scherervilletown",0,0.03,0.01,0.1,0.11,0.11,0.16,0.04,0.04,0.03,0.05,0.84,0.12
42,"NetherProvidencetownship",0,0.08,0,0.42,0.33,0.29,0.31,0.11,0.07,0.06,0.06,0.91,0.08
39,"NorthRidgevillecity",0,0.06,0,0.02,0.07,0.08,0.07,0,0.01,0.01,0.01,0.94,0.02
34,"Dovertown",0.01,0.34,0.03,0.45,0.56,0.6,0.59,0.81,0.88,0.85,0.77,0.2,0.98
25,"Marlboroughcity",0.01,0.18,0.02,0.71,0.68,0.69,0.63,0.44,0.37,0.34,0.29,0.81,0.18
39,"Athenscity",0,0.21,0.01,1,1,1,0.96,0.79,0.63,0.51,0.41,0.83,0.07
48,"Wataugacity",0,0.07,0.01,0.2,0.33,0.42,0.52,0.06,0.08,0.09,0.11,0.85,0.08
49,"NorthOgdencity",0,0.02,0,0.41,0.39,0.49,0.51,0.04,0.04,0.04,0.04,0.94,0.01
25,"NorthReadingtown",0,0.07,0,0.14,0.11,0.14,0.14,0.03,0.02,0.02,0.02,0.95,0.02
50,"Colchestertown",0,0.2,0,0.68,0.54,0.6,0.54,0.18,0.12,0.12,0.1,0.92,0.01
13,"Savannahcity",0.24,0.74,0.02,0.34,0.35,0.4,0.46,0.05,0.04,0.04,0.05,0.93,0.04
6,"Reddingcity",0.03,0.18,0.02,0.16,0.38,0.46,0.62,0.04,0.09,0.1,0.12,0.91,0.09
37,"Lexingtoncity",0.02,0.55,0,0.3,0.59,0.63,0.79,0.04,0.08,0.07,0.08,0.94,0.09
12,"NorthLauderdalecity",0.01,0.31,0.03,0.42,0.5,0.55,0.66,0.55,0.57,0.57,0.63,0.65,0.25
34,"LittleFallstownship",0,0.01,0.01,0.12,0.2,0.27,0.29,0.07,0.11,0.14,0.14,0.77,0.1
18,"LakeStationcity",0.01,0.17,0,0.04,0.08,0.07,0.06,0.01,0.01,0.01,0.01,0.81,0.1
6,"Artesiacity",0.01,0.33,0.04,0.32,0.4,0.47,0.51,0.86,0.93,1,1,0,0.97
42,"Ephrataborough",0,0.18,0,0.23,0.23,0.23,0.33,0.04,0.03,0.03,0.04,0.93,0.05
41,"Eugenecity",0.03,0.15,0.04,0.76,0.73,0.67,0.62,0.27,0.23,0.19,0.16,0.88,0.05
6,"Torrancecity",0.03,0.11,0.2,0.52,0.56,0.61,0.62,0.81,0.76,0.76,0.7,0.53,0.37
39,"VanWertcity",0,0.08,0,0,0,0,0.2,0,0,0,0,0.97,0.03
25,"Melrosecity",0.01,0.1,0.01,0.23,0.25,0.31,0.29,0.09,0.08,0.1,0.08,0.91,0.05
45,"Clemsoncity",0,0.14,0,0.81,0.79,0.78,0.77,0.37,0.32,0.28,0.26,0.88,0.06
24,"Hyattsvillecity",0.02,0.6,0.01,0.48,0.49,0.67,0.71,0.52,0.47,0.58,0.56,0.72,0.16
54,"Viennacity",0,0.03,0,0,0,0,0,0,0,0,0,0.98,0.01
12,"OaklandParkcity",0.02,0.51,0.03,0.48,0.6,0.64,0.67,0.56,0.61,0.6,0.57,0.65,0.3
34,"Rutherfordborough",0,0.11,0.02,0.4,0.39,0.43,0.42,0.45,0.38,0.38,0.35,0.66,0.21
48,"Mansfieldcity",0,0.09,0,0.25,0.35,0.43,0.61,0.06,0.08,0.09,0.11,0.86,0.1
6,"Lodicity",0.03,0.23,0.04,0.28,0.48,0.5,0.52,0.21,0.31,0.29,0.28,0.67,0.28
48,"RoundRockcity",0,0.09,0.01,0.2,0.3,0.35,0.4,0.06,0.08,0.09,0.09,0.74,0.15
49,"SpanishForkcity",0,0.04,0,0.22,0.45,0.52,0.44,0.02,0.03,0.03,0.03,0.96,0.04
51,"Danvillecity",0.07,0.53,0,0.11,0.15,0.21,0.23,0,0.01,0.01,0.01,0.97,0.03
23,"SouthPortlandcity",0.01,0.11,0.01,0.18,0.17,0.24,0.39,0.05,0.04,0.05,0.08,0.93,0.02
55,"Watertowncity",0,0.13,0,0.23,0.21,0.24,0.24,0.02,0.02,0.02,0.02,0.93,0.01
36,"Peekskillcity",0.02,0.59,0.01,0.55,0.55,0.52,0.55,0.44,0.38,0.33,0.32,0.72,0.21
42,"Lancastercity",0.11,0.97,0.02,0.28,0.32,0.36,0.48,0.08,0.08,0.08,0.1,0.63,0.31
39,"Amherstcity",0,0.04,0,0.04,0.03,0.19,0.16,0.01,0.01,0.04,0.03,0.93,0.03
55,"FondduLaccity",0.01,0.13,0,0.25,0.18,0.19,0.2,0.03,0.02,0.02,0.02,0.93,0.03
1,"Sheffieldcity",0.01,0.5,0,1,0.98,0.95,0.81,0.06,0.04,0.03,0.03,0.98,0.03
48,"Pariscity",0.02,0.4,0,0.81,0.94,0.99,0.95,0.08,0.08,0.07,0.07,0.96,0.03
44,"Pawtucketcity",0.04,0.29,0.09,0.28,0.35,0.39,0.42,0.34,0.39,0.39,0.38,0.51,0.48
